date;value;daily_value
2017-09-13;2.2;0.008370154809256292
2017-09-12;2.17;0.008257228050023713
2017-09-11;2.14;0.008144268254994813
2017-09-08;2.06;0.007842880479236314
2017-09-07;2.05;0.007805190461351863
2017-09-06;2.1;0.00799360377246039
2017-09-05;2.07;0.007880566818552204
2017-09-01;2.16;0.008219578456603038
2017-08-31;2.12;0.008068943362182779
2017-08-30;2.15;0.008181925191830253
2017-08-29;2.13;0.008106607645341768
2017-08-28;2.16;0.008219578456603038
2017-08-25;2.17;0.008257228050023713
2017-08-24;2.19;0.008332516225628694
2017-08-23;2.17;0.008257228050023713
2017-08-22;2.22;0.008445420971758821
2017-08-21;2.18;0.008294873972780614
2017-08-18;2.19;0.008332516225628694
2017-08-17;2.19;0.008332516225628694
2017-08-16;2.23;0.008483048552077044
2017-08-15;2.27;0.008633522217005307
2017-08-14;2.22;0.008445420971758821
2017-08-11;2.19;0.008332516225628694
2017-08-10;2.2;0.008370154809256292
2017-08-09;2.24;0.008520672466039159
2017-08-08;2.29;0.008708737065732386
2017-08-07;2.26;0.008595909297781645
2017-08-04;2.27;0.008633522217005307
2017-08-03;2.24;0.008520672466039159
2017-08-02;2.27;0.008633522217005307
2017-08-01;2.26;0.008595909297781645
2017-07-31;2.3;0.008746338996656888
2017-07-28;2.3;0.008746338996656888
2017-07-27;2.32;0.008821531875202737
2017-07-26;2.29;0.008708737065732386
2017-07-25;2.33;0.00885912282424517
2017-07-24;2.26;0.008595909297781645
2017-07-21;2.24;0.008520672466039159
2017-07-20;2.27;0.008633522217005307
2017-07-19;2.27;0.008633522217005307
2017-07-18;2.27;0.008633522217005307
2017-07-17;2.31;0.008783937266243491
2017-07-14;2.33;0.00885912282424517
2017-07-13;2.35;0.008934293745488375
2017-07-12;2.33;0.00885912282424517
2017-07-11;2.37;0.009009450035657451
2017-07-10;2.38;0.009047022695862772
2017-07-07;2.39;0.00908459170043674
2017-07-06;2.37;0.009009450035657451
2017-07-05;2.33;0.00885912282424517
2017-07-03;2.35;0.008934293745488375
2017-06-30;2.31;0.008783937266243491
2017-06-29;2.27;0.008633522217005307
2017-06-28;2.22;0.008445420971758821
2017-06-27;2.21;0.008407789724396153
2017-06-26;2.14;0.008144268254994813
2017-06-23;2.15;0.008181925191830253
2017-06-22;2.15;0.008181925191830253
2017-06-21;2.16;0.008219578456603038
2017-06-20;2.16;0.008219578456603038
2017-06-19;2.19;0.008332516225628694
2017-06-16;2.16;0.008219578456603038
2017-06-15;2.16;0.008219578456603038
2017-06-14;2.15;0.008181925191830253
2017-06-13;2.21;0.008407789724396153
2017-06-12;2.21;0.008407789724396153
