;SKIL;VISL;MARK;MSGM;VISM;MLRT;PANW;AREN;GAXYQ;GOOGL;DTII;FTNT;SBIG;ASTC;NSSC;APLD;ACMR;APYP;AVCTQ;DPSI;PLUS;ANET;GTCH;MCHP;SATT;AVNW;CSGP;DTST;VRNS;AMPG;SWI;SEII;WYY;AAPL;POWI;ZRFY;VRME;GRPN;HPTO;GIFT;STTH;LFER;GZIC;LGIQ;WSTL;QUIK;GIGA;OMQS;TGHI;FALC;SPSC;IPWR;DIRV;PSYC;DSGT;FUBO;BLIN;DELL;HEAR;AEYE;ICLD;ADGO;WDDD;NEON;INAPQ;AEEX;XRX;PALT;DZSI;SRAX;FNCX;VMEMQ;RTNB;LEDS;PRKR;ACLS;COYNQ;ELON;NFLX;ANIX;SDCH;CPAH;YPPN;QRVO;RBBN;DROP;MMPWQ;IDN;ADTM;ACIW;INVE;UBIQ;CTSH;PEGA;MANH;TCX;SHSP;MFON;AFOP;VUZI;PULS.1;IGOI;CRM;APPS;TRMB;MRVC;DLGC;THQIQ;NTWK;SATCQ;AUTO;ASUR;MOVED;PWAVQ;LVLT;RNWK;AMBTQ;PKT;COHR;PLCM;ORSX;WESTD;MSI;RFIL;AGNUQ;ESLRQ;NATI;PRGS;ATNY;INUV;RVBD;KEME;WAVED;ONSM;TESS;TXCCQ;OCLR;NETL.1;PRVTD;DTRM;VTSS;XCRA;ANLY
T+202;-24.6559;-206.3302;-387.6079;41.3196;-27.5152;-38.3943;-668.2127;35.3061;-59.1127;-22.3387;48.3295;107.1414;1.4707;;-49.4897;23.0342;;8.6936;10.5504;425.8775;20.2473;-124.2593;23.779;56.081;;264.1722;-40.9511;121.0278;14.0906;-88.9412;-27.3026;111.5168;109.834;-61.3435;28.7872;-68.1046;-12.8546;-10.243;-141.4243;-105.0438;26.5818;;-2419.5561;150.9426;-11.9812;-2.4654;-1193.9546;24708.5005;48.8136;77.6849;49.1337;140.0998;-73.7726;-27.3749;-17.1972;220.0624;138.3049;14.0697;344.4794;43.4216;47.6798;;-48.9664;-127.4377;-6.7028;5.1071;54.6335;;174.8406;18.5994;244.4425;43.0186;;150.2277;-29.2719;-2.3437;180.0114;-218.8729;123.8181;-602.4618;10.9401;487.9378;67.2935;46.9507;1.9357;;1339.7139;174.244;32.3471;-24.1476;150.3378;-31.2864;89.0952;-24.9688;50.2423;56.0406;-470.8944;-53.9389;-7.1514;-2.7222;35.0858;;-36.5356;-22.7526;79.1932;-26.0995;273.537;120.8577;85.9721;216.1375;3.0089;10.2033;16.142;18.8452;-87.3647;-65.1218;1151.7355;66.7763;75.1761;11.738;;264.8791;68.8191;-1269.3158;902.3897;-28.9029;16.6656;-11.5638;794.9567;;47.8271;3.3038;;179.5887;45.8076;-132.139;256.1962;2.203;370.2788;380.4381;1.3506;-448.7827;89.9682
T+203;-20.6333;-210.4315;-398.2307;41.7305;-34.4298;-38.4076;-730.1966;35.9885;-54.3614;-18.4524;48.671;107.7274;1.104;-58.3022;-51.4592;22.4344;31.0495;;10.774;426.6534;20.3188;-120.6372;;61.3421;;18.8386;-40.9607;139.4635;13.2053;;-6.6909;113.0229;98.9439;-59.3851;;-64.8138;-13.2436;-1.6119;-144.2023;-3061.5925;25.7353;-7.2512;-2335.0039;156.0381;-12.5971;-2.1652;;25085.0049;48.9531;77.1844;48.3674;140.7232;-73.4889;-20.8523;-17.4136;40.7425;137.5454;14.0872;340.2652;45.4894;;948117.8225;-51.4558;-126.6284;1.7206;34.0014;42.2827;-40.8634;130.1419;18.2183;242.9085;43.5342;477.1285;;-28.6491;-1.3657;168.4095;-218.1217;123.7883;-614.5031;10.9219;485.9864;;;;6.8132;1338.9628;;32.2284;-23.4779;151.8857;-37.0374;93.7066;-24.7152;49.798;56.0859;-456.8705;-53.8541;-7.8859;0.0467;36.8541;;-37.4027;-27.8613;77.4037;-25.6049;;120.3678;85.9724;;1.1034;-15.5284;15.4428;373.3739;-88.669;-26.7853;;69.9395;68.4434;12.9869;-256.9331;272.0582;69.4807;80.817;-384.0073;-28.5115;16.6115;-9.1037;;-645.8122;48.5341;4.4283;;185.7075;44.686;-148.2261;257.6268;1.7658;296.8066;336.9891;7.8777;37.846;-1.5007
T+205;-21.6819;-205.5559;106.6871;40.7781;-27.5112;;-688.8828;38.1802;-54.3069;-19.962;48.7218;107.807;1.3781;-58.4313;-48.4862;22.0388;33.0862;;10.6209;415.3728;20.1583;-118.9092;22.861;63.199;;23.733;-40.9603;126.4494;13.4926;-88.6694;-22.1536;113.3499;85.4247;-67.2175;21.6236;-63.7781;-20.2668;-8.1305;;-3206.4645;29.0738;-5.0044;-2393.0451;151.1001;-13.0063;-2.4035;-1191.3614;25281.5873;48.6398;;49.1054;140.2997;-73.7794;-266.2811;-17.8695;21.8614;138.2504;13.6616;341.3484;45.9947;;;-51.3543;-127.6115;-18.3309;25.3045;69.047;-96.2535;124.3952;;260.4626;42.9259;477.891;151.9329;-28.8578;-0.9128;171.9963;-218.9872;124.0204;-527.5761;10.8156;484.7098;67.1103;46.563;1.5573;6.9223;1326.0007;173.9754;32.219;;151.7644;-31.2796;90.1844;-24.9108;48.2718;55.9648;-470.5538;-53.9415;-7.7953;;35.2404;69.1343;-36.479;-23.1364;73.1597;-25.7007;273.2191;115.092;;216.8473;2.3423;-15.1733;;-57.607;-87.2056;-71.0043;1130.8128;65.0099;75.4873;6.3593;-251.3889;262.2185;58.8143;57.1546;-361.4619;-29.5941;18.0091;16.3987;799.6214;-646.309;46.937;2.0361;-9.1449;179.515;46.6134;-132.2204;251.0468;2.975;;383.2381;7.0842;32.5152;-81.8139
T+206;-16.7825;-210.0123;-388.2291;41.0868;-50.4148;-38.6223;-717.7168;;-54.4038;-19.0584;;107.7384;21.0302;-70.8294;-48.8805;22.39;;6.2039;10.7958;424.3596;20.2997;-111.5995;;69.3171;-947.2873;22.0778;;87.375;4.4067;-89.5737;-25.9133;113.0243;81.5519;-59.102;22.9107;-66.6473;-14.401;-10.9634;;-3075.5612;26.6025;-3.0796;-2408.8597;154.1667;-11.8693;-27.7169;-1190.2972;24703.1168;47.6649;;49.0833;140.7022;-75.0278;-22.1432;-17.4795;42.6776;138.9309;;341.2119;43.1851;;1033424.3663;;-127.152;-7.3092;23.2751;;-93.8101;131.5168;;242.7016;;477.809;151.0099;-28.7754;;178.7087;-218.5846;123.7957;-616.7155;10.9018;;66.9904;46.9232;1.9089;;;174.1613;32.3267;-23.7352;150.633;-31.2898;88.6689;-25.041;50.0694;56.0363;;;-6.7038;-6.0718;35.0483;68.4825;-35.4549;-15.8342;78.274;-13.0601;275.5963;120.1076;85.9691;216.219;-1.0727;-15.1962;16.3079;17.1545;-84.6682;-65.4869;1121.8987;66.4657;75.1242;;-263.0351;265.3923;;;;;16.9929;-9.5391;827.3837;-645.9775;46.1354;3.6569;-7.9914;176.9313;44.8941;-148.5627;257.5126;1.2419;332.943;380.1449;4.3617;64.2935;16.177
T+207;-23.2362;-211.6;;39.3274;-26.6909;-38.1599;-716.9781;35.4127;-78.3948;-17.0856;;121.3192;0.7559;-57.5924;-49.352;22.861;29.9058;8.8471;;424.092;20.2651;;23.7241;49.9813;-912.7537;19.1931;-40.977;122.2096;13.4489;-89.2094;-22.5827;112.8325;86.9259;-58.9353;20.5209;-66.2377;-14.9564;-2.4011;-141.2569;-4532.911;;-4.8762;-2433.0635;152.7976;-12.0902;-2.4456;-1193.41;25912.3644;49.3486;78.057;57.4272;141.4737;-74.1205;-25.3052;-17.3679;40.9762;;13.0966;340.4634;43.057;;1027705.9086;-38.8171;-127.0676;-6.6238;14.4919;47.8291;-90.8259;149.5959;18.1303;;43.0483;476.9218;152.362;-29.7875;41.4433;321.9404;-218.1078;123.5243;-530.806;10.8805;485.2927;;46.8451;1.8326;6.9199;1340.1024;172.9884;31.9382;-23.5189;151.926;-31.2279;89.0732;-24.943;49.883;56.0114;-471.1575;-53.911;-7.8081;4.2415;35.1222;;-36.5;-24.7974;79.764;;;;85.9722;215.7632;-1.6438;-69.8034;15.596;18.7069;-88.9342;-59.2325;1127.2238;66.5237;73.5952;8.9975;;265.183;68.9835;;-519.6103;-27.5163;17.8082;-6.7184;806.0793;-648.0962;59.6805;3.8977;;182.2749;44.6244;-143.6361;257.4329;2.1239;236.03;373.4417;9.502;40.5844;17504.0927
T+208;-21.3857;-211.8527;-390.0483;41.2242;-27.624;-37.1843;-738.3619;35.799;-54.5088;-21.2995;;107.7282;1.3556;-58.2432;-49.1572;22.5639;30.8795;-3.5712;10.7997;426.0887;20.2861;-116.946;23.5142;61.38;-1026.19;21.9781;-40.9588;155.0019;12.2278;-89.0732;;114.2052;94.0108;-59.7216;22.1604;-66.4508;-13.8106;-4.4199;-137.4018;-2358.1077;21.1122;-3.8087;-2294.3867;153.26;;;-1191.4274;;48.5482;78.7834;49.9627;140.3146;-73.8157;-23.2098;;40.2458;139.0368;12.4121;342.2256;;41.4151;95342.1912;-51.3863;-127.6538;-3.176;-3.8843;51.5577;-108.9539;131.1814;19.0405;243.1978;43.1146;480.3919;152.2121;;-0.9744;;;123.8124;-1008.7842;10.9237;484.8438;67.075;46.9489;1.9339;7.3268;1337.1002;174.1528;32.2854;-24.2993;154.8231;-31.3862;;-24.7137;49.9227;55.7666;-470.8011;;;-10.7966;35.1285;66.6137;-39.685;-23.6135;78.9417;-25.843;;120.3145;85.9725;216.6047;0.7559;-14.6955;16.3893;22.414;-87.2511;-65.3025;1126.7433;67.4148;75.0716;14.1272;-251.1888;;70.5041;80.7849;-383.9768;-28.4804;14.847;-9.5945;792.2198;-653.4766;46.2402;;;180.42;46.4843;;251.0795;;324.8706;375.0056;6.8206;55.2223;63.0394
T+209;-21.0638;-209.9522;-406.2484;41.0096;-26.5375;-38.0442;;34.5585;-54.3079;-21.7321;53.4461;107.9384;1.0723;-68.7868;-49.8689;24.1167;30.6638;11.4179;10.7022;424.7812;20.7672;-115.4024;;5.2313;-919.7312;14.938;;129.8189;13.3589;-88.4253;-22.2411;113.7052;88.228;-53.3387;3.2059;-64.9895;-14.4876;-8.0483;-140.8614;-3198.0358;;2.2095;-2356.2458;153.9679;-12.0339;;-1192.5601;25560.9129;49.0615;;48.3435;140.3262;;-7.123;;-7.1543;138.452;12.7672;339.9776;43.1633;41.3067;1033089.766;;-128.318;-6.7843;25.6086;43.5378;-97.4656;131.4532;18.6359;264.0938;43.4318;477.2835;152.3367;-28.3391;-1.195;173.2939;-217.5333;123.7994;-543.7251;10.1758;484.7504;67.0099;46.4214;1.4191;6.951;;174.3222;32.2011;-23.6018;153.9288;-31.2872;88.9849;-24.9449;49.3076;56.0145;-470.9252;-53.909;-8.5314;12.201;35.1054;76.9966;-36.3741;-32.2389;;;273.3141;88.7656;85.9724;;480.5135;-15.1831;16.11;16.6287;-87.1735;-98.4894;1121.6345;67.3463;75.978;22.4206;-250.2033;264.2757;68.8722;80.5294;-383.7333;-28.8126;15.5529;-15.6673;798.5974;-647.4306;50.2074;4.3362;;176.7133;45.1599;;257.6478;1.9968;358.7617;379.1656;;39.7538;60.0095
T+210;-20.9089;-209.4958;-397.7301;;-30.4156;-41.8574;-705.0802;35.3549;;-21.2936;48.1735;104.1924;1.4371;-58.7484;-48.9848;22.6276;30.7626;;11.1602;;20.3672;-122.4861;23.3521;61.9806;;17.9734;-40.96;94.2452;15.3327;-89.5229;-27.9981;113.4527;91.2296;-54.5117;22.8846;-65.2966;-13.4499;-40.8678;-142.3113;-3003.6983;26.8338;-3.0358;-2430.2263;149.9123;-12.5654;-2.2468;-1193.0011;;;;54.2972;135.9442;-74.024;-24.6201;-16.6644;40.669;137.7238;13.4864;342.2707;43.3427;;1034560.0739;-52.3185;-127.2923;-1.2964;22.8774;56.9861;-93.5453;136.861;18.7447;;;469.9882;152.2518;-27.556;-1.4292;242.446;-218.456;122.9681;-519.5819;;485.2752;66.9963;46.0435;1.0502;7.0325;1339.7279;174.1318;32.243;;152.2048;-31.4438;89.3343;-24.8475;49.9136;55.8758;-472.1459;-53.737;-7.9483;7.6603;35.0064;;-36.4608;-23.4364;78.439;-25.6423;272.601;;85.9725;;1.7594;-18.1822;15.7565;-0.9577;-133.8014;-64.3464;;66.8868;75.2743;9.2306;-246.2764;264.7371;45.9936;122.0402;-423.2845;-77.1126;17.217;-9.6198;821.9705;-621.5096;47.3474;4.3676;;180.9417;44.602;-147.1605;255.6677;4.552;355.5405;381.5775;7.5252;37.4696;254.0984
T+211;-19.6075;-211.5965;-387.5288;41.4273;-27.6436;-38.2718;-730.7101;35.6159;-54.4803;-17.2945;48.6215;107.804;1.3669;-60.7505;;19.8244;11.687;10.4975;10.6074;421.6907;20.3791;-120.1876;23.738;62.5379;;19.3118;-41.0636;134.6859;13.3731;;-25.0478;;;-57.9221;21.9805;-60.9053;-14.449;-10.4262;-141.874;;26.4924;-3.5343;-2439.6572;151.7214;-13.1802;-3.5143;-1360.1529;24090.7868;49.2809;77.6017;49.3144;139.8643;-74.3425;-27.2489;-17.6038;-269.3886;138.2271;15.2656;339.9616;41.3046;42.5163;1034620.4006;-51.4134;-128.3993;-6.5449;27.9625;52.9529;-88.0526;132.5863;18.767;243.2298;43.12;475.2572;152.5017;-24.0053;-12.0929;210.4238;-218.5932;123.8189;-601.2759;11.0575;488.2242;67.0724;46.6911;1.6823;6.9243;1339.1526;174.2087;35.3637;-23.6869;151.2994;-31.2912;88.7801;-24.9049;49.9992;56.0777;-470.9099;-53.9099;-7.7564;4.9835;35.1248;;-37.3286;3.3876;79.4629;-24.854;;;85.9722;216.7835;;-13.0172;;17.4755;-87.1585;-57.3647;1132.4026;65.2996;75.2463;14.815;-255.4337;267.9253;68.8045;;;-29.0782;19.8811;1.1316;;;;3.9301;;180.0433;43.8166;-149.4482;;2.0163;265.0382;381.3151;7.4594;50.7833;-884.8533
T+212;-21.6176;-209.7408;-389.0578;;-28.6929;;-784.8008;34.8241;-54.5092;-18.7195;19.8921;106.7792;15.2658;-58.9434;-49.4455;21.2216;;8.1966;;426.1779;20.2903;-123.665;23.9552;52.6198;;25.527;-40.9478;129.6039;14.9499;-88.2942;-20.5269;112.1978;102.761;-60.2538;22.3448;-73.826;-14.3063;-13.3086;-140.0363;-3044.2682;25.9874;-14.6886;-2292.8297;153.8849;-11.8681;-2.3509;-1193.2791;25042.277;48.7914;77.2842;50.9103;140.7147;-74.2235;-24.9008;-17.3726;;;13.8556;343.0344;44.0115;41.7438;1018153.4261;96.1502;-127.9533;-5.3146;18.1871;30.2379;-89.2521;176.7398;;238.7433;43.145;477.0438;;-28.1913;-1.5901;176.8735;-218.4272;123.8156;-523.7719;10.8983;485.2589;67.5003;46.8404;1.828;7.4745;1344.7095;174.1445;32.2459;-17.4171;156.111;;89.1711;;49.9817;56.0178;-471.601;;-8.3355;0.5493;35.1564;172.4943;-36.633;-24.4968;62.0078;-25.8802;271.9995;;85.9725;;-3.4382;-15.7624;13.046;18.3765;-77.1185;-66.7853;1128.1617;65.7336;74.8156;11.6736;;263.6994;84.1823;153.2024;-452.9756;-28.9381;17.8729;-9.6859;408.8712;-655.8747;44.4221;-0.5487;-8.1618;162.4061;45.4409;-146.2196;263.6243;2.6899;;377.5569;;37.4611;-35.1057
T+213;-21.779;-197.4344;-399.6559;41.9525;-26.5995;-50.6727;-737.1273;;;-18.6506;47.9994;107.8383;1.3564;-59.1175;-43.1943;22.6916;29.0523;19.4022;10.6414;427.2958;20.3485;-120.4288;23.8142;60.7379;;;-40.9592;133.6458;13.4805;-88.3196;-22.3484;113.8316;101.8623;-62.156;25.5962;-66.3179;;-7.3622;-140.9094;;26.2234;;-2485.5724;154.1607;-11.51;0.0565;-1193.521;27488.1619;49.3188;77.5531;49.4773;137.588;;-24.5572;-17.4263;45.8394;137.9803;14.9286;340.5618;43.4526;41.8664;1028631.3978;-52.2655;-127.3489;-7.2383;19.4449;57.5602;-103.2927;133.3808;18.6415;;;477.8277;;-28.4894;0.5613;145.4451;-218.9914;123.8;-550.145;10.8938;484.3824;67.0701;47.1147;2.0958;7.8687;;;31.903;-23.6813;151.516;-31.2517;;-25.1634;49.8975;56.7711;-470.5945;-53.9055;-7.5842;64.4165;35.0705;67.4189;-36.5434;-23.7665;81.8476;-25.5443;274.0634;120.6413;85.9721;211.7635;0.5962;;15.5148;20.8332;-86.9512;-58.86;;66.697;74.8487;10.7019;;264.928;68.6275;69.9711;-373.6734;-29.92;17.1809;;;-649.0593;46.0447;4.2462;;179.7781;;-147.5659;257.0843;1.2418;331.0056;377.4427;6.5333;36.1536;-559.7378
T+214;-64.8007;-206.3914;-388.5714;39.4452;-27.2831;-37.5896;-525.7288;35.185;-54.3918;-127.3248;47.5907;107.7484;1.5715;-56.9499;-49.4078;24.6926;30.3285;9.5661;10.7262;424.9482;;-119.544;23.6514;48.4404;;23.9274;-40.968;123.5444;20.0579;-89.2939;-23.0292;113.1964;;-63.3688;21.8498;-65.5796;-13.8717;-10.8755;-139.1559;-3209.8699;;-2.5447;;149.8668;-10.4383;-2.4559;;25549.1334;48.417;77.4026;47.9986;140.2048;-72.0894;-12.9897;;;138.2734;13.2344;341.7544;43.5165;44.45;1026968.7672;;-128.8205;-6.7588;-39.6845;52.6771;-92.016;131.8546;18.4828;248.2656;42.931;478.3918;152.5027;;-1.5851;183.3681;-218.8543;124.1;-544.702;10.8984;484.6887;66.9429;;;7.1932;1340.6849;174.1804;32.2707;-24.3701;152.4293;-31.3222;89.0176;-24.8831;49.716;55.9544;-470.8932;-54.1781;-7.6055;7.4891;35.1958;71.2116;-36.9728;-16.4582;79.4923;-25.8565;273.311;;85.9723;216.1631;;-15.4218;16.838;-22.1822;-87.1554;-64.1313;1126.651;72.2074;75.0708;347.7122;-249.3033;264.9787;63.1055;82.0228;-385.1562;;-83.4323;-33.2073;798.2839;-648.9724;45.2711;3.9426;-5.6857;184.8397;43.7504;-168.1852;258.0037;2.0444;222.7787;383.8997;6.1952;47.6741;-5.3358
T+215;-20.8194;-209.1439;-384.6224;40.3397;-28.4652;;-724.5105;35.4598;-53.8755;-17.5083;51.0233;113.5193;-2.2622;-59.5565;-45.784;22.6569;30.9064;5.4971;10.313;426.5932;;-98.3025;23.1742;65.2545;-914.9419;22.037;-41.0145;-143.6757;13.3086;-88.5148;-26.2685;115.7522;95.0475;-61.6858;21.7729;-67.7973;-13.9787;-5.4906;-141.4288;-595.0816;26.1382;-3.2694;-2401.3721;155.5035;-13.2289;-2.5975;-1191.9663;24965.0694;48.548;;48.6447;139.3667;-73.9517;-21.3967;;39.745;137.0054;13.5673;;39.7133;41.7528;991925.5706;-52.5078;-126.9175;-310.8464;;-722.7974;-72.8665;111.4296;18.6991;242.9978;42.9811;482.0244;152.5394;-20.4266;-2.2792;161.7169;;123.8267;-522.06;;485.5388;66.9874;46.9213;1.907;7.0374;1339.2613;174.2054;;-23.6313;151.3823;-31.2992;;-20.4959;49.4429;56.0391;-467.1375;-53.9187;-10.6603;0.8038;35.0041;32.9891;-36.5286;-22.3163;77.8295;-25.4548;276.9676;;85.9728;216.4133;-9.0164;8.4852;16.1148;19.2944;-87.6429;-50.4152;1131.2444;65.9786;75.838;10.3733;-242.7583;262.2913;69.9039;115.1297;-416.7002;;16.6276;-9.6023;809.0584;;44.6122;3.5076;-8.2873;181.8961;45.0357;-147.2388;256.7061;;340.8537;380.1603;7.1981;39.4458;76.5307
T+216;-23.5719;-175.7796;-383.9938;40.8875;-27.522;-37.505;-737.25;36.2516;-54.3554;-20.2891;;107.8733;1.434;-58.5164;-49.653;21.6721;31.1236;9.7543;10.6757;420.3197;20.2863;-116.679;23.7654;61.6953;-926.8168;22.2461;-40.9502;112.757;13.1286;-88.5006;-20.781;;93.7432;-59.467;22.1358;-65.2801;-12.4497;-10.6752;-142.3905;;25.68;-4.3413;-2352.6057;;;-2.5976;-1200.3364;24332.2274;;77.6986;48.1282;140.1193;-73.7015;-24.2209;;39.2113;139.374;13.6962;324.9244;43.2106;49.3417;1028509.5092;-49.9016;-127.3883;-6.8198;41.7168;52.2509;;125.1492;18.6616;249.5498;43.1718;477.0766;151.8435;-28.4622;-1.6578;241.5387;-218.5424;123.8054;-530.1822;11.077;484.7537;67.1107;47.0703;2.0524;;1339.5701;174.1544;32.4733;-23.9244;153.5392;-31.2696;88.7698;-24.9029;;56.0211;-471.2093;-53.8852;-7.7066;18.8701;35.042;68.6245;-36.4988;-23.0708;77.3804;-25.8625;;119.7914;85.9724;214.9831;1.4531;-18.0633;16.1908;15.6138;-86.882;-64.6241;1138.0814;;75.6283;-4.3123;-253.1677;264.1173;69.4555;92.0351;-394.6959;-29.0793;16.9195;-8.6548;799.7801;-647.9724;46.9996;3.499;;185.0669;44.7626;-146.5356;257.2472;1.8798;142.8037;;-4.9763;79.9902;-400.6393
T+217;-22.2664;-209.345;-388.7209;41.5331;-25.1804;-39.6437;-37.021;;-54.3962;-16.248;58.2583;107.9554;0.3852;-56.5345;-49.4627;22.0727;30.4616;8.8111;10.8258;;20.2365;-120.6821;23.0407;58.4719;;19.8689;-40.962;111.9023;12.9597;-87.9119;-23.7995;113.3098;114.6312;-61.278;19.1893;-52.5978;-16.9485;-9.935;-141.1855;-3108.5186;26.2898;-3.8402;-2413.2313;153.0411;-10.5246;-2.0825;;25385.0975;48.3978;77.5694;45.8122;140.8958;-74.0018;-28.7038;-17.6354;37.4703;138.1303;11.5765;;;;925576.1654;-51.5599;-125.1375;-7.7843;18.5359;71.2212;-96.9875;132.9118;18.4863;240.6235;;476.7569;152.3511;-28.3487;;225.3919;-218.7651;123.9087;-698.2125;10.9239;485.3269;66.9968;47.1013;2.0827;;;;32.3362;-23.2243;151.8337;-31.2911;89.3623;-25.1134;50.0204;56.3005;-470.7871;-53.8738;-12.3896;-7.8634;35.0643;192.2974;;-19.4544;;-26.0111;273.8321;120.7102;85.9722;216.4581;1.1185;-15.4518;15.6438;17.7757;-84.5691;894.7993;1130.7132;67.2958;75.1625;11.1298;-248.7605;265.0249;63.2246;89.3738;-392.1602;-29.0884;14.874;-15.4393;795.6489;-641.5031;22.514;3.3293;-8.2672;180.7988;39.4014;-150.5061;265.5345;4.7497;339.3397;;10.8328;39.0891;76.8347
T+218;-21.6413;-210.3146;-389.8563;42.1847;-24.5666;-38.115;-762.3295;35.3614;-53.4367;-18.4873;49.5128;107.2659;1.4691;-58.0635;-46.381;22.5517;30.8685;9.2434;10.6688;426.2414;20.341;-115.2364;23.7623;72.5207;;12.2347;-41.0099;127.5619;13.5066;-88.7505;-26.9237;113.8169;93.7;-60.338;19.7308;-64.1883;-14.3343;-10.3201;-145.8506;;26.1528;-10.5904;-2455.7273;151.6149;-12.204;-2.1257;-1176.7571;24290.4862;48.6704;78.6304;49.5443;140.5565;;-22.2909;-17.5077;43.1306;179.7721;12.9719;339.7312;43.3627;41.7316;;-51.2968;;-13.3298;12.2015;53.0467;-92.7488;129.2703;18.6462;242.1714;43.0568;477.8184;152.9173;-26.3978;-1.8865;164.4203;-220.3141;123.7912;-527.6963;12.3644;484.7713;;46.9271;1.9127;;;174.1422;31.847;-23.4997;151.0614;-31.4915;89.0572;-24.8602;49.7437;56.0252;-470.877;-53.8985;-7.6928;5.2546;35.1012;67.6514;-36.4133;-23.1956;78.593;-26.3287;343.0746;119.4552;;216.2407;-22.6126;-13.0027;13.3717;;-86.9934;-74.1124;1127.9141;65.2032;72.4989;21.1619;-251.2397;265.2523;67.5121;94.2695;-396.8247;;;-10.1021;813.3731;-646.4675;47.1311;4.0329;-7.6885;181.5044;44.682;-150.3433;257.1157;2.2048;287.1308;;7.9827;261.2926;123.6959
T+219;-19.911;-210.8006;-384.631;;-26.4301;-38.6937;-733.7998;36.0564;-54.4235;-572.9972;48.9385;107.762;1.377;-59.2574;-49.3151;22.3538;30.0251;-74.1591;10.7036;433.3828;20.2678;-121.7314;24.053;55.9817;;15.3909;-40.9599;138.4389;14.7548;-89.2306;-26.7965;112.2251;84.0417;-63.7128;21.3051;-66.6985;-14.0772;-7.6795;-140.9339;-3260.2448;27.6784;-4.0212;;153.3879;;-2.2002;-1193.347;24259.3984;47.3899;77.8596;49.5821;140.8278;-73.7978;-19.3398;-17.4634;;138.1465;;338.8055;42.8415;41.2767;1028796.3645;-45.7505;-127.2779;-6.37;31.5598;28.7237;;125.8525;;249.4058;;478.1406;153.4052;-23.1656;-4.02;145.8743;-219.1955;123.8002;-321.7391;10.9155;484.674;66.9993;45.9485;0.9574;6.7976;1342.7379;174.1533;32.3306;-24.4827;153.3747;-31.2912;88.4851;-24.7997;49.891;55.9863;-469.4838;-53.9023;-105.899;-2.063;34.5689;;-36.8882;-23.4467;83.1653;-25.9096;273.4571;;85.9724;217.6927;-1.5208;-18.5508;14.6637;35.5843;-87.1119;-65.0315;1107.3638;66.4533;75.5098;8.3173;-252.0065;266.1585;68.5005;69.4653;-373.1915;;27.1753;-10.1488;782.5144;-649.6971;39.4973;3.8152;;252.1224;46.2206;-146.7808;256.8331;1.3229;399.3695;381.4333;;;-289.2053
T+220;-21.5131;-217.6692;-389.2468;32.1696;;-37.5392;-767.0192;35.4439;-54.3199;-20.9157;47.6847;105.8126;7.2832;-67.0;-48.7299;23.0769;30.4126;;10.6876;426.0782;20.547;-118.9368;23.8119;61.909;;19.551;-40.9021;141.5781;;-89.5026;-21.926;112.6558;92.8478;;22.3815;-64.2661;-14.8494;-8.2345;-139.7538;-2704.0176;25.4017;-4.9935;-2274.5281;154.6307;-11.7075;-2.3881;-1194.2824;24750.8375;49.5792;78.7625;49.5798;142.0441;-73.9917;-20.4422;-17.2768;36.2047;137.5814;13.7931;339.8024;41.4222;41.6473;1034966.3662;-51.5406;-126.697;-6.7165;23.2311;51.6833;-86.5776;138.7896;18.5984;242.8043;;471.633;;-27.9003;-2.1189;238.3625;-218.5348;124.1382;-540.3501;10.935;485.2178;66.9852;46.9325;1.918;6.7653;1340.1787;;;-23.5111;152.9886;-31.3608;88.4512;-25.0382;49.9571;55.9942;-470.8564;-53.9247;-7.646;;35.0434;66.0044;-36.8022;;78.8594;-25.6926;274.2383;;85.9725;216.3729;-0.3215;-15.3883;15.8658;;-87.435;;1128.2287;66.3405;75.0852;12.4307;;264.0454;75.3295;15.3452;-321.6262;;16.6253;-9.3403;800.3959;-648.211;47.9335;2.9365;-8.8347;176.5704;45.3258;-148.2604;258.4289;2.1148;337.1674;378.4549;5.2378;37.2257;5.7021
